M ;n ;z_i ;z_w ;z_o ;weight ;in ;out
1077952632 6 60 0 67 -128 8 119
1077952632 6 60 0 67 -128 59 68
1077952632 6 60 0 67 -128 103 24
1077952632 6 60 0 67 -128 122 5
1077952553 6 75 0 75 127 63 63
1077952553 6 75 0 75 127 5 5
1077952553 6 75 0 75 127 34 34
1077952553 6 75 0 75 127 93 93
1077952529 6 63 0 64 -127 123 4
1077952529 6 63 0 64 -127 45 82
1077952529 6 63 0 64 -127 36 91
1077952529 6 63 0 64 -127 50 77
1077952616 6 57 0 57 127 73 73
1077952616 6 57 0 57 127 32 32
1077952616 6 57 0 57 127 67 67
1077952616 6 57 0 57 127 108 108
1077952606 6 54 0 73 -128 48 79
1077952606 6 54 0 73 -128 20 107
1077952606 6 54 0 73 -128 49 78
1077952606 6 54 0 73 -128 47 80
1077952664 6 60 0 60 127 0 0
1077952664 6 60 0 60 127 71 71
1077952664 6 60 0 60 127 46 46
1077952664 6 60 0 60 127 51 51
1077952666 6 43 0 85 -128 65 63
1077952666 6 43 0 85 -128 11 117
1077952666 6 43 0 85 -128 51 77
1077952666 6 43 0 85 -128 13 115
1077952621 6 62 0 62 127 0 0
1077952621 6 62 0 62 127 53 53
1077952621 6 62 0 62 127 91 91
1077952621 6 62 0 62 127 64 64
1077952603 6 52 0 75 -128 23 104
1077952603 6 52 0 75 -128 57 70
1077952603 6 52 0 75 -128 22 105
1077952603 6 52 0 75 -128 98 29
1077952644 6 60 0 67 -127 18 109
1077952644 6 60 0 67 -127 100 27
1077952644 6 60 0 67 -127 37 90
1077952644 6 60 0 67 -127 45 82
1077952602 6 80 0 80 127 88 88
1077952602 6 80 0 80 127 122 122
1077952602 6 80 0 80 127 65 65
1077952602 6 80 0 80 127 0 0
